SIRET,nom_etab,type_etab,etatAdministratifEtablissement,anciennete_ans,trancheEffectifsEtablissement,adresse_sirene,activitePrincipaleEtablissement
72206632100018,Inconnu,Autre,A,54.0,NN,50 DE RIVOLI,68.20B
74555043400021,Inconnu,Autre,A,40.0,NN,16 LINNE,68.20B
75211348000012,LE TROQUET DES GLACES,Restaurant,A,14.0,01,46 DU FAUBOURG DU TEMPLE,56.10A
75309809400026,Inconnu,Autre,A,9.0,01,51 LABROUSTE,43.22A
75400559300027,GWENDOG,Autre,A,14.0,02,22 CUSTINE,96.09Z
84484907500016,Inconnu,Bar,A,7.0,01,21 DE MAGENTA,56.30Z
84906525500010,SUSHI GOZEN,Restaurant,A,7.0,11,22 DELAMBRE,56.10A
78857337600027,LE BRAZZA,Bar,A,6.0,02,9 DE SEVRES,56.30Z
78867399400026,L'AUTHENTIK,Restaurant,F,13.0,02,90 BALARD,56.10A
78951837000018,CHEN MARKET,Autre,A,14.0,12,120 DU FAUBOURG DU TEMPLE,47.11C
78966125300052,CASTA DIVA,Restaurant,A,10.0,02,102 DU FAUBOURG SAINT-DENIS,56.10A
78997855800011,Inconnu,Bar,A,14.0,01,154 VOLTAIRE,56.30Z
78997855800011,Inconnu,Bar,A,14.0,01,154 VOLTAIRE,56.30Z
79000467500019,CORCORAN'S IRISH PUB,Bar,A,14.0,11,9 FOYATIER,56.30Z
79070099100025,BOUCHERIE D'ALESIA,Autre,A,13.0,01,125 D'ALESIA,47.22Z
79125508600013,O TACOS,Restaurant,A,14.0,12,5 DES INNOCENTS,56.10C
88277792300013,Inconnu,Bar,A,6.0,11,3 DU BOURG TIBOURG,56.30Z
79372883300021,Inconnu,Autre,A,12.0,01,3 DE LA PORTE DE VANVES,47.21Z
79377653500023,Inconnu,Bar,A,8.0,01,103 SIMON BOLIVAR,56.30Z
79385396100027,MEZZENCORE,Restaurant,A,11.0,12,88 PIERRE DEMOURS,56.10C
79387167400016,LES FAVORIS,Restaurant,A,13.0,03,74 D'ALLERAY,56.10A
79406326300014,LIBRAIRIE PAPETERIE LAUMIERE,Autre,A,13.0,NN,39 DE LAUMIERE,47.61Z
79461985800028,Inconnu,Autre,A,12.0,03,2 DARCET,47.29Z
79466793100016,I-KIM BEAUTE,Autre,A,13.0,NN,48 GALILEE,47.75Z
79473543100015,MAISON LANDEMAINE LEVAIN D'ANTAN JA,Autre,A,13.0,12,2 CROZATIER,10.71C
79890733300016,Inconnu,Restaurant,A,13.0,NN,38 DU VERTBOIS,56.10A
79938563800025,C' TROBON,Restaurant,A,12.0,02,4 DE LA COUTELLERIE,56.10A
88124215000012,CHEZ ADDY ET IDA,Restaurant,A,6.0,03,4 JAUCOURT,56.10A
79967904800048,Inconnu,Autre,A,6.0,NN,1 DU MONTPARNASSE,46.69A
79969514300054,MON PETIT POULET,Restaurant,A,8.0,03,31 CLER,56.10C
80009077100018,CAFE PARISIEN 10 EME,Restaurant,A,12.0,02,127 DU FAUBOURG SAINT-DENIS,56.10A
80051978700017,Inconnu,Autre,A,12.0,02,10 LECOURBE,47.21Z
80093762500013,Inconnu,Restaurant,A,12.0,02,8 DU COLONEL BOURGOIN,56.10C
80165867500013,Inconnu,Autre,A,12.0,01,33 DE MENILMONTANT,47.78C
80193312800010,Inconnu,Restaurant,A,12.0,02,131 SAINT-CHARLES,56.10A
80207116700018,Inconnu,Autre,A,12.0,02,67 VOLTAIRE,68.31Z
80218382200021,Inconnu,Autre,A,12.0,11,106 DE COURCELLES,47.29Z
80270250600014,AU PARADIS TROPICAL,Restaurant,A,12.0,02,6 CUSTINE,56.10C
80229118700036,Inconnu,Restaurant,A,11.0,01,92 MURAT,56.10A
80339906200014,Inconnu,Autre,A,12.0,NN,144 DU MONTPARNASSE,47.25Z
80369248200026,LE FONTENOY,Bar,A,7.0,01,37 RAYMOND LOSSERAND,56.30Z
80382233700017,Inconnu,Restaurant,A,12.0,03,61 DE CHABROL,56.10A
80385638400026,CASERO,Restaurant,A,10.0,11,9 BIOT,56.10A
80497263600018,Inconnu,Autre,A,12.0,11,57 DE BRETAGNE,10.71D
80738745100014,Inconnu,Autre,F,12.0,NN,40 POUSSIN,47.11B
80743151500020,Inconnu,Restaurant,A,11.0,NN,83 DE L'UNIVERSITE,56.10C
80786879900014,HALEY TRESSE,Restaurant,A,12.0,NN,38 MATHIS,56.10A
80869153900015,LE ROND POINT,Bar,A,11.0,02,123 MONGE,56.30Z
80900707300012,CAFE BOETIE,Restaurant,A,11.0,01,52 LA BOETIE,56.10A
82145284400011,JZ PRIMEURS,Autre,A,10.0,02,232 DES PYRENEES,47.21Z
81030422000025,LA BOITE A CIGARES,Autre,A,5.0,01,23 DE ROME,47.26Z
81059475400014,D.B.C. OPTIQUE,Autre,A,11.0,01,35 DE CHAILLOT,47.78A
81060679800025,Inconnu,Autre,A,11.0,11,113 LECOURBE,47.11D
81110993300010,BELLA ITALIA,Restaurant,A,12.0,01,40 LOUIS BLANC,56.10A
81090995200022,Inconnu,Autre,A,8.0,01,21 DES MARTYRS,10.13B
81180584500013,GARDEN SUSHI,Restaurant,A,11.0,02,28 GAMBETTA,56.10A
81197412000024,EK-DIDEROT,Autre,A,11.0,11,13 DIDEROT,10.71C
81212572200015,TREMA,Autre,A,11.0,11,189 DE CRIMEE,55.10Z
81294500400016,LE GRANITE,Restaurant,F,11.0,02,19 DURANTON,56.10A
81310035100028,Inconnu,Autre,A,10.0,NN,12 DE BONNE NOUVELLE,47.71Z
81339268500018,Inconnu,Bar,A,11.0,01,11 PIERRE DEMOURS,56.30Z
81357070200015,VERGER DE PARIS,Autre,A,11.0,02,123 DE LA ROQUETTE,46.31Z
81370924300014,Inconnu,Autre,A,11.0,02,55 JEANNE D'ARC,96.02A
81443346200011,Inconnu,Restaurant,A,11.0,NN,1 DE CAPRI,56.10A
81476885900021,TANDOORI TIME,Restaurant,A,10.0,11,42 DU FAUBOURG SAINT-DENIS,56.10C
81499477800011,OMMABAB,Restaurant,A,11.0,02,241 DE BERCY,56.10A
81517352100064,JOE & THE JUICE,Restaurant,A,6.0,12,90 VICTOR HUGO,56.10C
81845800200016,LES INITIES,Autre,A,10.0,NN,84 CHAMPIONNET,68.20B
81847678000015,MONGOO,Restaurant,A,10.0,03,42 DES JEUNEURS,56.10C
81847782000018,LE FORUM CAFE,Restaurant,A,10.0,00,1 LITTRE,56.10A
81855034500016,CONVENTION TOP AFFAIRES,Autre,A,10.0,01,228 DE LA CONVENTION,47.19B
81959017500017,Inconnu,Restaurant,A,10.0,NN,14 JOURDAN,56.10C
81990278400274,BURGER KING,Restaurant,A,3.0,22,2 D'AMSTERDAM,56.10C
82018670800013,Inconnu,Autre,A,10.0,02,41 VOLTAIRE,46.22Z
82053652200015,FUKUYAMA,Restaurant,A,10.0,03,60 DE REUILLY,56.10A
82092055100034,IDEAL AUDITION,Autre,A,8.0,01,96 ORDENER,47.74Z
82132515600023,Inconnu,Autre,A,9.0,01,91 DE LA ROQUETTE,47.22Z
82178890800019,GOURMET D'ALESIA,Restaurant,A,10.0,01,67 DU GENERAL LECLERC,56.10C
82209680600010,GAITE MARKET,Autre,A,10.0,01,12 DE LA GAITE,47.11B
82290035300027,BEAU,Autre,A,9.0,02,5 DU CHAMP DE MARS,96.02A
82344512700017,VOTRE MARCHE,Autre,A,10.0,NN,15 DES FAVORITES,47.11B
82378180200017,COMPTOIR SAUDADE,Autre,A,10.0,01,27 DE LA JONQUIERE,47.11B
82408632600025,CHRISTIAN CONSTANT,Autre,A,9.0,02,40 DES ECOLES,47.24Z
82446035600010,Inconnu,Restaurant,A,10.0,01,190 DE COURCELLES,56.10A
82485238800019,STEVENOT,Restaurant,A,9.0,02,2 DES PETITS CARREAUX,56.10C
82517912000019,CORBEILLE DAUDET,Autre,A,9.0,02,19 ALPHONSE DAUDET,47.11B
82861263000024,Inconnu,Autre,A,9.0,11,169 SAINT-CHARLES,47.22Z
82868431600023,Inconnu,Autre,A,7.0,03,63 HAUSSMANN,46.47Z
51342103200014,L'AMI JUSTIN,Restaurant,A,17.0,03,28 DE MENILMONTANT,56.10A
45106242600015,[ND],Autre,F,23.0,02,[ND] [ND],68.20B
91297862400019,POKE HOP,Restaurant,A,4.0,01,87 DE SEVRES,56.10C
64205444900011,Inconnu,Restaurant,A,62.0,03,15 LEPIC,56.10A
44891503300154,JOUR,Restaurant,A,8.0,03,13 MALESHERBES,56.10C
91291937000029,Inconnu,Autre,A,126.0,NN,187 DE TOLBIAC,47.76Z
56206190300018,LE MUSSET,Restaurant,A,70.0,12,5 DE L'ECHELLE,56.10A
91270854200010,Inconnu,Restaurant,A,4.0,11,70 DE LONGCHAMP,56.10A
91464494300013,Inconnu,Autre,F,4.0,01,95 DE LA TOMBE ISSOIRE,47.11B
43210117800015,CAFE LEFFE - CAFE LA BUCHERIE,Autre,A,26.0,NN,41 DE LA BUCHERIE,68.20B
91480516300021,Inconnu,Restaurant,A,3.0,NN,2 PIERRE MAC ORLAN,56.10C
53834634700015,BO-MAN CAFE,Restaurant,A,15.0,12,33 NOTRE-DAME DE LORETTE,56.10A
38888578200036,Inconnu,Autre,A,12.0,NN,82 DAUMESNIL,68.20B
91758515000019,Inconnu,Autre,A,4.0,01,387 DES PYRENEES,96.02A
42811754300010,Inconnu,Restaurant,A,27.0,03,12 LA FAYETTE,56.10A
91776267600018,SUSHI OISHI,Restaurant,A,4.0,02,22 DES FILLES DU CALVAIRE,56.10A
41475567800011,Inconnu,Restaurant,A,29.0,02,6 DES WALLONS,56.10A
91029237400014,AU METRO,Autre,A,4.0,00,66 RAYMOND LOSSERAND,68.20B
79907285500015,Inconnu,Bar,A,13.0,02,3 DU HAUT PAVE,56.30Z
91857391600015,TABAC DU DOME,Bar,A,4.0,01,24 LAURISTON,56.30Z
90285412400010,Inconnu,Restaurant,A,5.0,11,54 DE PARADIS,56.10A
84771800400017,BON GUSTO,Restaurant,A,7.0,01,55 BARRAULT,56.10A
84014069300010,BOULANGERIE L'ESSENTIEL,Autre,A,8.0,01,254 DAUMESNIL,68.20B
80952027300016,Inconnu,Autre,A,11.0,02,37 POULET,47.11B
92018643400014,LE FALGUIERE,Autre,A,4.0,02,129 DE VAUGIRARD,47.26Z
82110104500028,CLOUD CAKES,Restaurant,A,10.0,11,6 MANDAR,56.10A
52947011400024,BOULANGERIE AFANTROUS,Autre,A,14.0,03,49 DE LA GAITE,10.71C
85292666600011,LA FONTAINE,Restaurant,A,7.0,03,20 CUVIER,56.10A
85292666600011,LA FONTAINE,Restaurant,A,7.0,03,20 CUVIER,56.10A
84985750300015,Inconnu,Autre,A,7.0,01,31 DU FAUBOURG MONTMARTRE,47.78C
92274274700012,Inconnu,Autre,F,4.0,NN,59 MONGE,47.21Z
43893935700028,Inconnu,Autre,A,21.0,NN,13 DES PYRAMIDES,55.10Z
94920296400019,ELAYNA BEAUTE 60,Autre,A,3.0,00,60 DU CHATEAU D'EAU,96.02A
95084004100012,INDIAN FOOD MASTER,Restaurant,A,3.0,02,16 DE TOLBIAC,56.10A
95192802700014,SMØR,Restaurant,A,3.0,NN,59 DE PARADIS,56.10C
38540738200071,PULLMAN PARIS TOUR EIFFEL,Autre,A,17.0,NN,18 DE SUFFREN,55.10Z
38540738200071,PULLMAN PARIS TOUR EIFFEL,Autre,A,17.0,NN,18 DE SUFFREN,55.10Z
97915356600018,LE CENT UN,Bar,A,3.0,NN,101 DE MENILMONTANT,56.30Z
80364136400028,Inconnu,Restaurant,A,2.0,NN,24 DE LA REPUBLIQUE,56.10A
80364136400028,Inconnu,Restaurant,A,2.0,NN,24 DE LA REPUBLIQUE,56.10A
54205087700027,Inconnu,Autre,A,126.0,21,2 CHARLES NODIER,47.51Z
41513703300015,Inconnu,Restaurant,A,28.0,12,4 DE L'ECHELLE,56.10C
92200848700014,Inconnu,Autre,A,4.0,NN,97 DU RUISSEAU,47.11B
84932459500016,L'ATELIER KIRAZ,Restaurant,A,7.0,11,16 HENRI DESGRANGE,56.10C
92020914500019,Inconnu,Bar,A,4.0,01,41 DU TEMPLE,56.30Z
92064420000015,BABEL DWICHS,Restaurant,A,4.0,NN,11 BERTIN POIREE,56.10C
83868634300016,LE MURGER,Bar,A,8.0,01,39 MATHURIN MOREAU,56.30Z
81107188500016,MIDTOWN STUDIO,Autre,A,11.0,02,55 MARCEAU,93.11Z
48321790700011,CHOCOLATS VOISIN,Autre,A,21.0,01,114 HAUSSMANN,47.29Z
50248154200020,KARAMELL,Autre,A,17.0,01,15 DES MARTYRS,47.24Z
30200047600077,Inconnu,Autre,A,23.0,03,19 SAINT-SEVERIN,58.14Z
30247464801522,NATURALIA,Autre,A,10.0,03,6 CORENTIN CARIOU,47.29Z
30351302200010,Inconnu,Autre,A,51.0,02,149 DE RENNES,47.72B
30426305600018,BISTRO MELROSE - POSTER'S PUB - THE LITTLE ITALY,Restaurant,F,51.0,12,5 DE CLICHY,56.10A
30837364600048,Inconnu,Autre,A,41.0,01,2 KELLER,46.49Z
31400871500034,Inconnu,Restaurant,A,39.0,12,10 CONSTANTIN BRANCUSI,56.10A
31552823200020,LE RAPIDE DE L'EST,Autre,A,32.0,NN,142 DU FAUBOURG SAINT-MARTIN,68.20B
32316232100315,Inconnu,Autre,A,41.0,NN,2 D'ORSEL,68.20B
32478206900045,[ND],Autre,A,28.0,NN,[ND] [ND],68.20B
32631531400061,RAYON D'OR,Autre,A,12.0,01,39 DE L'ANNONCIATION,47.72B
32499261900027,Inconnu,Bar,A,40.0,01,215 DE CRIMEE,56.30Z
32516370700020,Inconnu,Autre,A,41.0,NN,37 DE LA VILLETTE,47.78C
32937058900015,Inconnu,Autre,A,42.0,03,12 DE LA VILLETTE,47.11C
32977961500015,LE SECOND EMPIRE,Restaurant,A,42.0,NN,62 DE LA VERRERIE,56.10A
33044055300015,Inconnu,Bar,A,42.0,12,103 SAINT-GERMAIN,56.30Z
33068198200014,Inconnu,Autre,A,42.0,NN,8 DES ARCHIVES,68.20B
33202056900031,Inconnu,Autre,A,37.0,NN,8 D'ORSEL,47.51Z
75055739900029,Inconnu,Autre,A,14.0,12,34 DE SUFFREN,10.71C
48319555800026,IL NATURAL,Restaurant,A,21.0,11,74 DE LA GRANDE ARMEE,56.10A
81274839000026,SAHRA,Restaurant,A,10.0,01,102 DE LA VILLETTE,56.10A
50073867900017,AUX CENT KILOS,Restaurant,A,19.0,03,46 DES MORILLONS,56.10A
52721294800022,Inconnu,Bar,F,38.0,01,59 BARBES,56.30Z
82781527500025,EELS,Restaurant,A,9.0,11,27 D'HAUTEVILLE,56.10A
82196749400013,Inconnu,Autre,A,10.0,NN,21 DU POTEAU,47.78A
55212022240621,Inconnu,Autre,A,6.0,11,6 DU POTEAU,64.19Z
81868849100021,Inconnu,Restaurant,F,10.0,01,185 JEAN JAURES,56.10C
84978680100019,Inconnu,Restaurant,A,7.0,12,28 CORENTIN CARIOU,56.10A
83370264000024,WOODIZ,Restaurant,F,8.0,NN,139 DE VERSAILLES,56.10C
78460043900029,Inconnu,Restaurant,A,27.0,22,102 DU MONTPARNASSE,56.10A
51154144300012,L'ECIR,Autre,A,17.0,NN,59 SAINT-JACQUES,68.20B
42994320200011,Inconnu,Restaurant,F,26.0,NN,349 DES PYRENEES,56.10A
41443291400011,Inconnu,Autre,A,29.0,NN,11 SAINT-GERMAIN,68.20B
41443291400011,Inconnu,Autre,A,29.0,NN,11 SAINT-GERMAIN,68.20B
50159738900029,Inconnu,Restaurant,A,13.0,11,86 DE VILLIERS,56.10C
87946394100028,PAULETTE,Restaurant,A,6.0,03,48 ARAGO,56.10A
54206623806575,NICOLAS,Autre,A,25.0,01,21 DES ARCHIVES,47.25Z
95216323600013,Inconnu,Restaurant,F,3.0,NN,12 DUPONT DE L'EURE,56.10A
82750185900017,ARABESQUE B,Restaurant,A,9.0,01,249 DU FAUBOURG SAINT-MARTIN,56.10C
49498492500011,CAFE JULIETTE,Bar,A,19.0,NN,46 DE CHARONNE,56.30Z
88204985100018,Inconnu,Restaurant,A,6.0,11,20 LA CONDAMINE,56.10A
91040375700016,,Autre,,,,,
95520062100121,,Autre,,,,,
90183495200011,Inconnu,Restaurant,A,5.0,03, VINCENT AURIOL,56.10C
72200393602320,,Autre,,,,,
30176254800024,Inconnu,Autre,A,44.0,11,8 DEJEAN,47.21Z
,,Autre,,,,,
34448068600015,Inconnu,Autre,A,38.0,01,4 DU PETIT PONT,47.78C
95520062100121,,Autre,,,,,
45342707200013,Inconnu,Autre,A,22.0,01,77 LEFEBVRE,45.40Z
88951054100028,,Autre,,,,,
32400791300050,Inconnu,Autre,F,30.0,00,10 MARBEUF,96.02A
39273600500027,Inconnu,Autre,A,32.0,03,98 DE SAINT-OUEN,47.21Z
41844761100025,Inconnu,Autre,A,22.0,01,83 PIERRE DEMOURS,68.20B
38808301600054,Inconnu,Autre,A,27.0,00,121 DU MONTPARNASSE,55.10Z
68102521900012,[ND],Autre,A,126.0,02,[ND] [ND],68.20B
52753574400017,Inconnu,Restaurant,A,16.0,11,111 BEAUMARCHAIS,56.10A
34182185800014,Inconnu,Restaurant,A,39.0,12,1 ANTOINE VOLLON,56.10A
53937172400011,Inconnu,Autre,A,14.0,03,8 LEPIC,47.78C
82350894000025,Inconnu,Bar,A,9.0,NN,135 DES POISSONNIERS,56.30Z
40399391800032,,Autre,,,,,
84155981800023,Inconnu,Autre,F,6.0,01,3 DU GENERAL LAMBERT,68.10Z
39808878100016,Inconnu,Restaurant,A,32.0,NN,64 RAMBUTEAU,56.10A
49968469400015,CHERUBINI,Restaurant,A,19.0,02,44 DES PERCHAMPS,56.10C
88358376700016,NOIR COFFEE SHOP,Bar,F,6.0,00,44 MONTAIGNE,56.30Z
55204856300019,HOTEL DE SEVIGNE - PARIS,Autre,A,71.0,11,6 DE BELLOY,55.10Z
94989997500013,Inconnu,Restaurant,A,3.0,03,14 D'ALEXANDRIE,56.10A
85272300600023,LEBON PATISSERIE,Autre,A,3.0,02,85 VOLTAIRE,10.71D
92935453800027,Inconnu,Restaurant,A,2.0,NN,61 DE LA TOURNELLE,56.10C
82003938600017,Inconnu,Restaurant,A,10.0,11,11 CIVIALE,56.10C
49856634800013,LE SAINT REGIS,Restaurant,A,19.0,12,6 JEAN DU BELLAY,56.10A
98160162800010,Inconnu,Restaurant,A,3.0,NN,48 MONGE,56.10C
75282038100016,SANDY'S CUPCAKES,Autre,A,14.0,NN,15 LEON FROT,10.71D
79869097000016,LA GITANE,Bar,A,13.0,02,3 LASSUS,56.30Z
89815267300015,Inconnu,Restaurant,A,5.0,01,1 DE REUILLY,56.10C
45318445900015,SUBSTANCE,Restaurant,A,22.0,NN,17 GEORGES BIZET,56.10A
53378123300028,Inconnu,Autre,A,15.0,11,150 VICTOR HUGO,68.20B
82849588700014,Inconnu,Restaurant,A,9.0,01,240 DU FBG ST ANTOINE,56.10A
33436594700012,Inconnu,Restaurant,A,41.0,21,6 SAINT-GERMAIN DES PRES,56.10A
33110176600011,Inconnu,Autre,A,42.0,01,10 DU ROI DE SICILE,47.61Z
97841308600015,Inconnu,Autre,A,3.0,NN,242 VOLTAIRE,70.10Z
84140674700029,LE 3 V,Restaurant,A,7.0,03,3 DE VIENNE,56.10A
82207979400027,CRABE ROYAL THAI AND SPICY,Restaurant,A,10.0,02,1 DE MAGENTA,56.10A
80234451500019,Inconnu,Restaurant,A,12.0,01,58 VASCO DE GAMA,56.10A
57218798700019,HOTEL DE NEUVE,Autre,A,69.0,03,14 NEUVE SAINT-PIERRE,55.10Z
93451137900026,JOOLS,Restaurant,A,1.0,NN,2 PERNETY,56.10A
84258055700010,Inconnu,Restaurant,A,8.0,03,13 HAUSSMANN,56.10C
95327127700014,Inconnu,Restaurant,A,3.0,NN,43 DE L'ORILLON,56.10C
40414446100039,Inconnu,Bar,A,16.0,02,58 CUSTINE,56.30Z
45106373900259,HUAWEI,Autre,A,4.0,NN,9 DES CAPUCINES,47.19B
93461305000012,Inconnu,Autre,A,2.0,NN,117 DE LA ROQUETTE,47.25Z
93855842600012,Inconnu,Autre,A,2.0,NN,91 RAYMOND POINCARE,70.10Z
92889648900012,LE MOUSK,Restaurant,A,2.0,NN,168 SAINT-MARTIN,56.10A
80086300300011,BA MIEN,Restaurant,A,12.0,11,180 DE CHOISY,56.10A
85098653000028,Inconnu,Restaurant,A,7.0,02,22 DU FAUBOURG DU TEMPLE,56.10A
98504342100017,PHO ENTRECOTE,Restaurant,A,2.0,NN,114 D'IVRY,56.10C
48942367300024,WASHI,Restaurant,A,11.0,02,3 PECLET,56.10A
91765309900023,Inconnu,Restaurant,A,3.0,01,43 RAMEY,56.10A
98852440100029,Inconnu,Restaurant,A,1.0,NN,92 LA CONDAMINE,56.10C
98439068200016,Inconnu,Autre,A,2.0,NN,67 MARGUERITE DE ROCHECHOUART,70.10Z
51229992600018,LE COQ DU CARRAU,Restaurant,A,17.0,11,1 CHARLES-FRANCOIS DUPUIS,56.10A
75246944500015,CAFE MODERNE,Restaurant,A,14.0,02,19 KELLER,56.10A
49493821000015,LA PETITE CAVE,Restaurant,A,19.0,NN,48 DES MARONITES,56.10A
98758463800017,LE BARKLAY'S,Restaurant,A,2.0,NN,48 DE SAINT-OUEN,56.10A
75124664600010,Inconnu,Restaurant,A,14.0,02,148 MASSENA,56.10C
54209533616209,SUBWAY ROSA PARKS SNCF,Restaurant,A,10.0,01, GASTON TESSIER,56.10C
88923665900021,Inconnu,Restaurant,A,6.0,NN,46 BICHAT,56.10C
71200205400013,DUDULE,Autre,A,55.0,11,205 VINCENT AURIOL,68.20B
99285197200016,Inconnu,Restaurant,A,1.0,NN,2 DE NEW YORK,56.10C
52490057800013,LE CASSE NOIX,Restaurant,A,16.0,03,56 DE LA FEDERATION,56.10A
85238471800015,Inconnu,Restaurant,A,7.0,02,43 DE MONTREUIL,56.10C
83013824400017,INDIAN TASTE,Restaurant,A,9.0,11,54 LOUIS BLANC,56.10A
80137577500021,LES FINES LAMES,Restaurant,A,8.0,02,35 LEPIC,56.10A
49918215200052,Inconnu,Restaurant,A,8.0,21,2 CAMBON,56.10A
50118283600012,PANAME,Restaurant,A,19.0,12,14 DE LA FONTAINE AU ROI,56.10C
79290599400010,LE P'TIT BARCELONE,Restaurant,A,13.0,02,17 DE LA BOULE ROUGE,56.10A
51476043800010,ZIG ZAG XV,Restaurant,A,17.0,11,58 GARIBALDI,56.10A
80880363900034,LE BARTOQUE,Restaurant,A,8.0,03,9 DE LA VILLE L'EVEQUE,56.10A
75094694900013,Inconnu,Autre,A,14.0,01,55 DE VALMY,47.11B
81315798900019,MAISON LANDEMAINE,Autre,A,11.0,11,28 BEAUMARCHAIS,10.71C
98105444800015,Inconnu,Restaurant,A,3.0,NN,10 DUPONT DES LOGES,56.10C
48500940100012,LA CREPERIE DES CHAMPS-ELYSEES,Restaurant,A,21.0,01,5 WASHINGTON,56.10A
83360258400017,LE 38,Restaurant,A,9.0,01,38 DU DOCTEUR BLANCHE,56.10C
81800666000018,PHO 11,Restaurant,A,10.0,03,52 SAINTE-ANNE,56.10A
89041009500016,BE TEA,Restaurant,A,6.0,01,42 DE TOLBIAC,56.10C
79913442400032,LES ECRIVAINS,Restaurant,A,7.0,03,15 DES FAVORITES,56.10A
81416102200011,RONG LO,Restaurant,A,11.0,01,27 DE LA REINE BLANCHE,56.10A
56200453100017,Inconnu,Restaurant,A,70.0,12,120 MICHEL-ANGE,56.10A
42990359400019,Inconnu,Restaurant,A,26.0,21,83 D'AUTEUIL,56.10A
89847751800010,AU VIEUX HANOI,Restaurant,A,5.0,03,41 BEZOUT,56.10A
84786380000029,Inconnu,Restaurant,A,7.0,03,8 LUCIEN SAMPAIX,56.10A
40120013400013,Inconnu,Restaurant,A,31.0,11,19 SOUFFLOT,56.10A
41235556200015,Inconnu,Restaurant,A,29.0,11,70 BAUDRICOURT,56.10A
90155468300010,BOUCAN,Restaurant,A,5.0,NN,8 VICQ D'AZIR,56.10A
89161603900022,SHINKO,Restaurant,A,5.0,12,21 VIGNON,56.10A
30116219400015,Inconnu,Restaurant,A,52.0,02,89 DES MARTYRS,56.10A
83229533100017,SUR MER,Restaurant,A,9.0,01,53 DE LANCRY,56.10A
90794098500019,Inconnu,Restaurant,A,5.0,03,5 DU PONT LOUIS-PHILIPPE,56.10A
44888862800014,Inconnu,Restaurant,A,23.0,NN,13 JOSEPH DE MAISTRE,56.10C
41256752100031,CAFE DU COMMERCE,Restaurant,A,20.0,02,33 DE REUILLY,56.10A
81852578400026,LA CANTINE SICILIENNE,Restaurant,A,10.0,02,49 ORFILA,56.10A
82042863900018,Inconnu,Restaurant,A,10.0,02,6 LAMARCK,56.10A
79379007200011,Inconnu,Restaurant,A,13.0,12,39 DES PETITES ECURIES,56.10A
45189737500023,Inconnu,Restaurant,A,22.0,02,37 OBERKAMPF,56.10A
89836245400024,Inconnu,Restaurant,A,5.0,00,8 GODOT DE MAUROY,56.10A
39514672300014,CAFE DE LA NOUVELLE MAIRIE,Restaurant,A,32.0,02,19 DES FOSSES SAINT-JACQUES,56.10A
84415520000018,LIBERTY'S BURGER,Restaurant,A,8.0,00,18 D'ALIGRE,56.10A
41408389900016,Inconnu,Restaurant,A,29.0,11,1 DE MEXICO,56.10A
39864154800019,Inconnu,Restaurant,A,32.0,NN,68 DE LA ROQUETTE,56.10A
82166324200013,PASTA FOLIES,Restaurant,A,10.0,02,48 DE BERRI,56.10C
40378721100057,BERBECHE,Restaurant,A,8.0,03,39 JOUFFROY D'ABBANS,56.10A
89165235600017,Inconnu,Restaurant,A,6.0,11,62 DE VAUGIRARD,56.10C
80761033200015,DAILY SYRIEN,Restaurant,A,12.0,11,12 DES PETITES ECURIES,56.10A
87983660900039,LAKSHMI,Restaurant,A,126.0,02,9 MICHEL PETER,56.10A
84898191600028,Inconnu,Bar,A,7.0,02,51 DE VALMY,56.30Z
75025977200028,Inconnu,Restaurant,A,14.0,11,8 DU SABOT,56.10A
50067208400018,TOTTORI,Restaurant,A,19.0,02,208 DE GRENELLE,56.10A
43946702800049,LES PTITS GROS,Restaurant,A,9.0,11,74 DIDEROT,56.10A
48122119000012,Inconnu,Restaurant,A,21.0,01,183 D'ALESIA,56.10A
56202818300019,Inconnu,Restaurant,A,70.0,12,197 BRUNE,56.10A
33188899000206,Inconnu,Autre,A,28.0,NN,2 DU PONT NEUF,47.72B
73200243100011,LE PETIT VENDOME,Restaurant,A,53.0,11,8 DES CAPUCINES,56.10A
97883145100015,Inconnu,Restaurant,A,3.0,NN,8 MOUTON-DUVERNET,56.10C
85125662800021,Inconnu,Autre,A,7.0,02,22 POPINCOURT,47.24Z
89881593100024,Inconnu,Restaurant,A,5.0,03,8 SAINT-BERNARD,56.10A
83310036500018,BIM'S,Restaurant,A,9.0,02,32 GODOT DE MAUROY,56.10A
85317824200022,Inconnu,Restaurant,A,7.0,NN,71 BOSQUET,56.10C
91140005900018,CARACAS,Restaurant,A,4.0,02,60 DES MOINES,56.10A
94222326400014,Inconnu,Bar,A,1.0,NN,71 DE LYON,56.30Z
83876305000021,LE 12 LOUNGE PARIS,Restaurant,A,8.0,02,60 DE BERCY,56.10C
79189960200019,PAPELLI,Restaurant,A,13.0,NN,74 DU FAUBOURG SAINT-DENIS,56.10C
42256463300010,Inconnu,Autre,A,27.0,01,4 MAC-MAHON,68.20B
50474411100015,LE VERRE SIFFLEUR,Restaurant,A,18.0,11,73 D'ALESIA,56.10A
90505173600015,Inconnu,Restaurant,A,5.0,01,41 DE CROULEBARBE,56.10A
84501270700012,PULCINELLA,Restaurant,A,7.0,02,4 BUGEAUD,56.10A
53189299000072,Inconnu,Restaurant,A,9.0,03,1 ROQUEPINE,56.10C
